2024-11-24 10:37:59.720 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2024-11-24 10:37:59.723 INFO  (qtp1792384402-76-localhost-2) [c: s: r: x: t:localhost-2] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=javabin&version=2} status=0 QTime=7
2024-11-24 10:37:59.742 INFO  (qtp1792384402-76-localhost-3) [c: s: r: x:babysitter_core t:localhost-3] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=babysitter_core&action=STATUS&indexInfo=true&wt=javabin&version=2} status=0 QTime=0
2024-11-24 10:37:59.743 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2024-11-24 10:37:59.743 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10 numVersionBuckets=65536
2024-11-24 10:37:59.744 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2024-11-24 10:37:59.745 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-11-24 10:37:59.890 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /home/sergio/USI/Information Retrieval/IR_project/backend/solr-9.7.0/server/solr/babysitter_core/conf
2024-11-24 10:37:59.905 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-11-24 10:37:59.912 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:babysitter_core t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-11-24 10:37:59.913 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core) [c: s: r: x:babysitter_core t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-11-24 10:37:59.914 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core) [c: s: r: x:babysitter_core t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-11-24 10:37:59.926 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core) [c: s: r: x:babysitter_core t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-11-24 10:38:00.754 INFO  (qtp1792384402-79-localhost-4) [c: s: r: x: t:localhost-4] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=babysitter_core&action=STATUS&indexInfo=true&wt=javabin&version=2} status=0 QTime=4
2024-11-24 10:38:00.979 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core localhost-5) [c: s: r: x:babysitter_core t:localhost-5] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-11-24 10:38:00.993 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core localhost-5) [c: s: r: x:babysitter_core t:localhost-5] o.a.s.c.SolrCore Registered new searcher autowarm time: 6 ms
2024-11-24 10:38:00.993 INFO  (qtp1792384402-49-localhost-5) [c: s: r: x:babysitter_core t:localhost-5] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={commit=true}{deleteByQuery=*:* (-1816599913729884160), commit=} 0 164
2024-11-24 10:38:01.305 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core localhost-6) [c: s: r: x:babysitter_core t:localhost-6] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-11-24 10:38:01.313 INFO  (searcherExecutor-15-thread-1-processing-babysitter_core localhost-6) [c: s: r: x:babysitter_core t:localhost-6] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-11-24 10:38:01.313 INFO  (qtp1792384402-78-localhost-6) [c: s: r: x:babysitter_core t:localhost-6] o.a.s.u.p.LogUpdateProcessorFactory webapp=/solr path=/update params={commit=true}{add=[9dd2da10-8d02-4366-a34a-e26d4f5f3a63 (1816599913875636224), 0eb20f63-f39a-4bf7-820d-82f13bde452d (1816599913929113600), 9a082548-feab-4f71-8f37-580078622238 (1816599913930162176), 961d5ea2-a9f1-4f86-b617-f1cfaca2b605 (1816599913932259328), 6e51b1b2-7dba-4532-8cda-985227351974 (1816599913933307904), 12069d68-3c84-41d4-b25a-c83901dda1a1 (1816599913934356480), 0c81524a-c5e9-46b6-b27f-47787d6d7850 (1816599913935405056), a96b62eb-a019-4235-9acd-325288e5e4d9 (1816599913936453632), 6db3d456-eeba-47f3-bc98-fa7cfbb54224 (1816599913937502208), ef01b5a7-c4c8-4394-8efd-22ad168a4569 (1816599913938550784), ... (116 adds)], commit=} 0 278
2024-11-24 10:38:52.011 INFO  (qtp1792384402-50-localhost-7) [c: s: r: x:babysitter_core t:localhost-7] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:S*+or+description:*S*&hl=true&hl.simple.post=</em>&hl.fl=name,description&wt=json&hl.simple.pre=<em>} hits=116 status=0 QTime=173
